,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neglog10pvalue,,
THAPSDRAFT_10092,42.6262863,-0.000919881,0.626751306,-0.001467697,0.998828948,0.999999877,0.000508879,,
THAPSDRAFT_10093,30.08616886,0.167331775,0.671779346,0.249087407,0.80329317,0.993005544,0.095125925,,
THAPSDRAFT_10095,356.0280924,-0.819881548,0.68101391,-1.20391307,0.228623179,0.939341832,0.64087974,,
THAPSDRAFT_10096,53.19436915,-1.292171557,0.683790777,-1.889717733,0.058795721,0.784788564,1.230654278,,
THAPSDRAFT_10098,28.70405914,-0.216456245,0.675362015,-0.320504027,0.748586278,0.987162755,0.125758138,,
THAPSDRAFT_10099,16.13023171,-0.522021747,0.747676837,-0.69819168,0.485057329,0.97365412,0.314206929,,
THAPSDRAFT_1010,27.15339946,0.244096871,0.686310571,0.355665323,0.722091217,0.982569556,0.141407937,,
THAPSDRAFT_10100,27.4736444,-0.472543544,0.686715407,-0.688121366,0.491376357,0.97365412,0.308585744,,
THAPSDRAFT_10101,6.590303656,0.950920948,0.781162268,1.217315514,0.223484194,0.931394876,0.650753187,,
THAPSDRAFT_10102,82.38722319,0.245476997,0.567170162,0.432810141,0.665152706,0.982569556,0.177078638,,
THAPSDRAFT_10106,73.82488494,0.234157542,0.575705482,0.406731479,0.684205218,0.982569556,0.164813618,,
THAPSDRAFT_10109,203.6757785,-0.318226637,0.563705766,-0.564526135,0.572396119,0.974668053,0.24230332,,
THAPSDRAFT_1011,55.8743136,0.722245334,0.633128067,1.140757094,0.25397102,0.942935048,0.595215836,,
THAPSDRAFT_10111,80.8702735,0.540411241,0.587383317,0.920031649,0.357556221,0.968014203,0.446655662,,
THAPSDRAFT_10115,31.53569857,1.048199667,0.714447711,1.467146792,0.142336127,0.890926576,0.846684854,,
THAPSDRAFT_10123,117.664731,0.489070996,0.562995792,0.868693875,0.385014593,0.969441629,0.41452281,,
THAPSDRAFT_10128,18.1359763,-0.460095662,0.733725928,-0.627067471,0.530615009,0.97365412,0.27522047,,
THAPSDRAFT_10129,49.92449982,-0.270729284,0.611461244,-0.44275788,0.657940872,0.982569556,0.181813134,,
THAPSDRAFT_10133,9.877027985,-0.210282333,0.784696904,-0.267979053,0.788715442,0.991234827,0.103079656,,
THAPSDRAFT_10136,172.4940348,0.188530567,0.54649787,0.344979509,0.730109776,0.986260485,0.136611837,,
THAPSDRAFT_1014,80.07808866,0.124621651,0.565137677,0.22051556,0.825469656,0.994434124,0.083298887,,
THAPSDRAFT_10140,190.7142861,-0.341090862,0.55899436,-0.610186589,0.541738213,0.97365412,0.266210529,,
THAPSDRAFT_10142,99.41076972,-0.017703294,0.547767843,-0.032318973,0.974217679,0.996496528,0.011343994,,
THAPSDRAFT_10143,21.13616569,0.254105871,0.716282099,0.354756697,0.722771872,0.982569556,0.140998757,,
THAPSDRAFT_10146,41.07562662,0.328787355,0.639786235,0.51390189,0.607320586,0.980313229,0.216581997,,
THAPSDRAFT_10148,64.87488177,0.275818034,0.589127776,0.468180325,0.639655641,0.982569556,0.194053766,,
THAPSDRAFT_10149,4.011489182,0.074743441,0.753341767,0.099215846,0.920966893,0.995550825,0.035755981,,
THAPSDRAFT_1015,20.44511083,0.005102126,0.716057968,0.007125297,0.994314883,0.999743663,0.00247606,,
THAPSDRAFT_10150,45.81188065,0.63398974,0.64560885,0.982002865,0.326098437,0.961003642,0.486651283,,
THAPSDRAFT_10151,24.84426493,-0.096217133,0.692257617,-0.138990357,0.889457769,0.995550825,0.050874667,,
THAPSDRAFT_10156,194.6246453,-0.095191149,0.551242893,-0.172684582,0.862899363,0.995550825,0.064039851,,
THAPSDRAFT_10157,104.7538036,-1.082950351,0.624229049,-1.73486055,0.082765508,0.826900481,1.082150614,,
THAPSDRAFT_10158,91.94400624,-0.370388196,0.562258707,-0.658750486,0.510056008,0.97365412,0.292382133,,
THAPSDRAFT_10164,692.0830138,-0.703000175,0.729656515,-0.963467276,0.335313079,0.962512736,0.474549507,,
THAPSDRAFT_10169,16.43362165,-0.030116717,0.74097869,-0.040644511,0.967579298,0.995955594,0.014313432,,
THAPSDRAFT_1017,40.55312173,1.257838487,0.709015619,1.774063157,0.076052704,0.817012841,1.11888534,,
THAPSDRAFT_10172,474.9569481,-0.314048576,0.685086025,-0.458407506,0.6466597,0.982569556,0.189324204,,
THAPSDRAFT_10173,39.18786701,0.232205192,0.64158362,0.361925062,0.717408031,0.982569556,0.144233766,,
THAPSDRAFT_10178,57.08787335,0.139313618,0.596762484,0.233449022,0.815412751,0.994434124,0.088622502,,
THAPSDRAFT_10180,20.02373592,-0.22926419,0.718668625,-0.319012382,0.749717124,0.987162755,0.12510257,,
THAPSDRAFT_10181,16.31563667,0.176806439,0.743959878,0.23765588,0.812148006,0.994434124,0.090364818,,
THAPSDRAFT_10183,26.22637465,0.327169427,0.693106949,0.472033107,0.636903158,0.982569556,0.195926598,,
THAPSDRAFT_10185,45.40736074,-0.14460073,0.619589461,-0.23338152,0.815465162,0.994434124,0.088594588,,
THAPSDRAFT_10189,498.6719283,-1.038059404,0.733510154,-1.415194321,0.157011529,0.899400879,0.804068456,,
THAPSDRAFT_10191,94.57338571,0.291653185,0.559726651,0.521063602,0.602322465,0.97999877,0.220170938,,
